Period,Value
Jan-2009,336
Feb-2009,372
Mar-2009,339
Apr-2009,337
May-2009,376
Jun-2009,393
Jul-2009,411
Aug-2009,418
Sep-2009,386
Oct-2009,396
Nov-2009,375
Dec-2009,352
Jan-2010,345
Feb-2010,336
Mar-2010,381
Apr-2010,422
May-2010,280
Jun-2010,305
Jul-2010,283
Aug-2010,282
Sep-2010,317
Oct-2010,291
Nov-2010,287
Dec-2010,326
Jan-2011,307
Feb-2011,270
Mar-2011,300
Apr-2011,310
May-2011,305
Jun-2011,301
Jul-2011,296
Aug-2011,299
Sep-2011,304
Oct-2011,316
Nov-2011,328
Dec-2011,341
Jan-2012,335
Feb-2012,366
Mar-2012,354
Apr-2012,354
May-2012,370
Jun-2012,360
Jul-2012,369
Aug-2012,375
Sep-2012,385
Oct-2012,358
Nov-2012,392
Dec-2012,399
Jan-2013,446
Feb-2013,447
Mar-2013,444
Apr-2013,441
May-2013,428
Jun-2013,470
Jul-2013,375
Aug-2013,381
Sep-2013,403
Oct-2013,444
Nov-2013,446
Dec-2013,433
Jan-2014,443
Feb-2014,420
Mar-2014,405
Apr-2014,403
May-2014,451
Jun-2014,418
Jul-2014,402
Aug-2014,456
Sep-2014,470
Oct-2014,476
Nov-2014,442
Dec-2014,497
Jan-2015,515
Feb-2015,540
Mar-2015,480
Apr-2015,502
May-2015,502
Jun-2015,480
Jul-2015,506
Aug-2015,518
Sep-2015,456
Oct-2015,482
Nov-2015,504
Dec-2015,546
Jan-2016,505
Feb-2016,517
Mar-2016,532
Apr-2016,576
May-2016,571
Jun-2016,557
Jul-2016,628
Aug-2016,575
Sep-2016,558
Oct-2016,575
Nov-2016,571
Dec-2016,561
Jan-2017,573
Feb-2017,587
Mar-2017,632
Apr-2017,598
May-2017,635
Jun-2017,619
Jul-2017,572
Aug-2017,556
Sep-2017,637
Oct-2017,626
Nov-2017,711
Dec-2017,630
Jan-2018,590
Feb-2018,618
Mar-2018,679
Apr-2018,642
May-2018,662
Jun-2018,636
Jul-2018,628
Aug-2018,593
Sep-2018,595
Oct-2018,554
Nov-2018,625
Dec-2018,546
Jan-2019,595
Feb-2019,648
Mar-2019,718
Apr-2019,702
May-2019,618
Jun-2019,729
Jul-2019,648
Aug-2019,712
Sep-2019,712
Oct-2019,722
Nov-2019,713
Dec-2019,700
Jan-2020,690
Feb-2020,707
Mar-2020,621
Apr-2020,579
May-2020,709
Jun-2020,896
Jul-2020,983
Aug-2020,"1,022"
Sep-2020,979
Oct-2020,"1,031"
Nov-2020,877
Dec-2020,878
Jan-2021,896
Feb-2021,774
Mar-2021,861
Apr-2021,837
May-2021,726
Jun-2021,689
Jul-2021,727
Aug-2021,691
Sep-2021,731
Oct-2021,683
Nov-2021,787
Dec-2021,834
Jan-2022,798
Feb-2022,781
Mar-2022,713
Apr-2022,636
May-2022,648
Jun-2022,543
Jul-2022,519
Aug-2022,644
Sep-2022,556
Oct-2022,577
Nov-2022,596
Dec-2022,632
Jan-2023,639
Feb-2023,625
Mar-2023,644
Apr-2023,687
May-2023,741
Jun-2023,666
Jul-2023,700
Aug-2023,652
Sep-2023,694
Oct-2023,673
Nov-2023,611
Dec-2023,654
Jan-2024,664
Feb-2024,643
Mar-2024,683
Apr-2024,736
May-2024,672
Jun-2024,672
Jul-2024,726
Aug-2024,709
Sep-2024,738
Oct-2024,NA
Nov-2024,NA
Dec-2024,NA
