"","Date","Day","HighTemp","LowTemp","Precipitation","QueensboroBridge","Total"
"1",42826,42826,46,37,0,1430,5397
"2",42827,42827,62.1,41,0,2862,13033
"3",42828,42828,63,50,0.03,3689,16325
"4",42829,42829,51.1,46,1.18,1666,6581
"5",42830,42830,63,46,0,4197,17991
"6",42831,42831,48.9,41,0.73,1372,4896
"7",42832,42832,48,43,0.21,2765,10341
"8",42833,42833,55.9,39.9,0,2691,11610
"9",42834,42834,66,45,0,3261,14899
"10",42835,42835,73.9,55,0,4731,21295
"11",42836,42836,80.1,62.1,0,5501,24714
"12",42837,42837,73.9,57.9,0.02,4537,19355
"13",42838,42838,64,48.9,0,4700,20880
"14",42839,42839,64.9,48.9,0,4142,18015
"15",42840,42840,64.9,52,0,3291,14362
"16",42841,42841,84.9,62.1,0,3687,16408
"17",42842,42842,73.9,64,0,4658,21086
"18",42843,42843,66,50,0,5012,22459
"19",42844,42844,52,45,0.02,3996,15827
"20",42845,42845,64.9,50,0.17,3056,12290
"21",42846,42846,53.1,48,0.29,2672,10914
"22",42847,42847,55.9,52,0.11,2366,8944
"23",42848,42848,64.9,46.9,0,3434,15740
"24",42849,42849,60.1,50,0,4183,17855
"25",42850,42850,54,50,0.91,1578,5493
"26",42851,42851,59,54,0.34,2369,9819
"27",42852,42852,68,59,0,4285,18581
"28",42853,42853,82.9,57.9,0,5138,22787
"29",42854,42854,84,64,0.06,4078,19043
"30",42855,42855,64,54,0,3137,13932
