Period,Value
Jan-1963,0591
Feb-1963,0464
Mar-1963,0461
Apr-1963,0605
May-1963,0586
Jun-1963,0526
Jul-1963,0665
Aug-1963,0570
Sep-1963,0590
Oct-1963,0567
Nov-1963,0579
Dec-1963,0514
Jan-1964,0549
Feb-1964,0609
Mar-1964,0562
Apr-1964,0559
May-1964,0523
Jun-1964,0580
Jul-1964,0575
Aug-1964,0582
Sep-1964,0590
Oct-1964,0583
Nov-1964,0548
Dec-1964,0540
Jan-1965,0533
Feb-1965,0559
Mar-1965,0556
Apr-1965,0555
May-1965,0544
Jun-1965,0614
Jul-1965,0554
Aug-1965,0615
Sep-1965,0587
Oct-1965,0555
Nov-1965,0616
Dec-1965,0609
Jan-1966,0599
Feb-1966,0541
Mar-1966,0557
Apr-1966,0545
May-1966,0499
Jun-1966,0434
Jul-1966,0435
Aug-1966,0377
Sep-1966,0358
Oct-1966,0387
Nov-1966,0382
Dec-1966,0369
Jan-1967,0416
Feb-1967,0408
Mar-1967,0439
Apr-1967,0479
May-1967,0503
Jun-1967,0499
Jul-1967,0515
Aug-1967,0504
Sep-1967,0531
Oct-1967,0566
Nov-1967,0500
Dec-1967,0502
Jan-1968,0494
Feb-1968,0543
Mar-1968,0490
Apr-1968,0501
May-1968,0441
Jun-1968,0441
Jul-1968,0493
Aug-1968,0507
Sep-1968,0501
Oct-1968,0502
Nov-1968,0469
Dec-1968,0511
Jan-1969,0480
Feb-1969,0524
Mar-1969,0474
Apr-1969,0450
May-1969,0447
Jun-1969,0461
Jul-1969,0436
Aug-1969,0422
Sep-1969,0396
Oct-1969,0401
Nov-1969,0441
Dec-1969,0452
Jan-1970,0461
Feb-1970,0373
Mar-1970,0389
Apr-1970,0445
May-1970,0466
Jun-1970,0485
Jul-1970,0481
Aug-1970,0515
Sep-1970,0564
Oct-1970,0545
Nov-1970,0570
Dec-1970,0582
Jan-1971,0618
Feb-1971,0618
Mar-1971,0681
Apr-1971,0662
May-1971,0618
Jun-1971,0646
Jul-1971,0706
Aug-1971,0659
Sep-1971,0625
Oct-1971,0647
Nov-1971,0710
Dec-1971,0689
Jan-1972,0698
Feb-1972,0711
Mar-1972,0640
Apr-1972,0684
May-1972,0677
Jun-1972,0687
Jul-1972,0681
Aug-1972,0773
Sep-1972,0767
Oct-1972,0843
Nov-1972,0735
Dec-1972,0772
Jan-1973,0781
Feb-1973,0737
Mar-1973,0725
Apr-1973,0661
May-1973,0660
Jun-1973,0650
Jul-1973,0601
Aug-1973,0566
Sep-1973,0561
Oct-1973,0565
Nov-1973,0547
